name,platform,year_of_release,genre,rating
Grand Theft Auto 2,PS,1998,Action,T
Spider-Man 2,PS2,2004,Action,T
F-1 Race,G,1990,Racing,
LittleBigPlanet 2,PS3,2011,Platform,E
LEGO Batman: The Videogame,X360,2008,Action,E10+
FIFA Soccer 2003,PS2,2002,Sports,E
Crash Bash,PS,2000,Misc,E
Destiny,XOne,2014,Shooter,T
Monster Hunter X,3DS,2015,Action,
Final Fantasy XV,PS4,2016,Role-Playing,T
WWF War Zone,PS,1998,Fighting,
The Legend of Zelda: Majoras Mask,N64,2000,Action,
Far Cry 3,PS3,2012,Shooter,M
Rugrats: Search For Reptar,PS,1998,Adventure,
Yokai Watch 2 Ganso/Honke,3DS,2014,Role-Playing,
English Training: Have Fun Improving Your Skills!,DS,2006,Misc,
James Bond 007: Nightfire,PS2,2002,Shooter,T
Ratchet & Clank,PS2,2002,Platform,
Star Wars Episode III: Revenge of the Sith,PS2,2005,Action,T
The Legend of Zelda: Spirit Tracks,DS,2009,Action,E10+
Max Payne,PS2,2001,Shooter,M
Halo: The Master Chief Collection,XOne,2014,Shooter,M
Assassins Creed IV: Black Flag,X360,2013,Action,M
Minecraft,XOne,2014,Misc,
The Lord of the Rings: The Return of the King,PS2,2003,Action,T
Super Mario Maker,WiiU,2015,Platform,E
Gran Turismo 6,PS3,2013,Racing,E
True Crime: Streets of LA,PS2,2003,Action,M
Professor Layton and the Unwound Future,DS,2008,Puzzle,E10+
FIFA 16,XOne,2015,Sports,E
Gran Turismo (PSP),PSP,2009,Racing,
Madden NFL 16,PS4,2015,Sports,E
Wii Music,Wii,2008,Misc,E
Tekken,PS,1995,Fighting,
FIFA 17,XOne,2016,Sports,E
The Sims 4,PC,2014,Simulation,T
007: Tomorrow Never Dies,PS,1999,Shooter,
Baseball,NES,1983,Sports,
WWF SmackDown! 2: Know Your Role,PS,2000,Fighting,
Killer Instinct,SNES,1995,Fighting,
Dragon Quest VI: Maboroshi no Daichi,SNES,1995,Role-Playing,
God of War: Chains of Olympus,PSP,2008,Action,M
L.A. Noire,PS3,2011,Adventure,M
Enter the Matrix,PS2,2003,Action,T
Crisis Core: Final Fantasy VII,PSP,2007,Role-Playing,T
Dance Central,X360,2010,Misc,T
Ace Combat 04: Shattered Skies,PS2,2001,Simulation,E
Animal Crossing: Happy Home Designer,3DS,2015,Simulation,E
Animal Crossing,GC,2001,Simulation,E
FIFA Soccer 08,PS2,2007,Sports,E
Mario Party 9,Wii,2012,Misc,E
Club Penguin: Elite Penguin Force,DS,2008,Adventure,E
Spider-Man,PS,2000,Action,E
The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,E
Need for Speed III: Hot Pursuit,PS,1998,Racing,E
Star Wars Episode I Racer,N64,1999,Racing,
Sonic Rush,DS,2005,Platform,E
Fallout: New Vegas,PS3,2010,Role-Playing,M
Dragon Warrior IV,NES,1990,Role-Playing,
Personal Trainer: Cooking,DS,2006,Misc,E
Rhythm Heaven,DS,2008,Misc,E
The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,M
Resident Evil 6,PS3,2012,Shooter,M
Mass Effect 2,X360,2010,Role-Playing,M
Dragon Ball Z: Budokai,PS2,2002,Fighting,T
Madden NFL 2002,PS2,2001,Sports,E
World Class Track Meet,NES,1986,Sports,
Donkey Kong,G,1994,Platform,
